Algorithm,Total_Agents,Cores_Used,Migration_Interval,Run_ID,Final_Fitness,Execution_Time_Sec
Classic Serial,30,1,N/A,0,33.82918518645232,0.32352650000029826
Classic Serial,30,1,N/A,1,33.828922945392435,0.3158275000005233
Classic Serial,30,1,N/A,2,31.838820030057946,0.28800930000033986
Classic Serial,30,1,N/A,3,28.89145716316949,0.27184029999989434
Classic Serial,30,1,N/A,4,24.874115768660488,0.27175979999992705
Classic Serial,30,1,N/A,5,38.80356810961382,0.2735029999994367
Classic Serial,30,1,N/A,6,14.926079702342122,0.2718221999994057
Classic Serial,30,1,N/A,7,45.77302816840586,0.27178580000054353
Classic Serial,30,1,N/A,8,31.839454452913145,0.2745373000007021
Classic Serial,30,1,N/A,9,35.81858737348642,0.27624269999978424
Classic Serial,60,1,N/A,0,32.83930000070117,0.5436773999999787
Classic Serial,60,1,N/A,1,20.89588001218752,0.5393151999996917
Classic Serial,60,1,N/A,2,23.880161740251282,0.5366788000001179
Classic Serial,60,1,N/A,3,25.924229291071043,0.5653357000001051
Classic Serial,60,1,N/A,4,16.9780288369422,0.5406096000006073
Classic Serial,60,1,N/A,5,34.82618861547155,0.5355863999993744
Classic Serial,60,1,N/A,6,22.8841809212,0.5341603000006216
Classic Serial,60,1,N/A,7,19.90014748880239,0.5447105000002921
Classic Serial,60,1,N/A,8,17.909632894238115,0.5416128000006211
Classic Serial,60,1,N/A,9,22.88404961757729,0.5351100999996561
Classic Serial,100,1,N/A,0,20.894164549087748,0.8980397000004814
Classic Serial,100,1,N/A,1,30.027581668836916,1.0368144999993092
Classic Serial,100,1,N/A,2,15.919343185103003,1.0092166000004
Classic Serial,100,1,N/A,3,27.932634397059275,0.9270731999995405
Classic Serial,100,1,N/A,4,19.899190545954866,0.8834123000006002
Classic Serial,100,1,N/A,5,21.889068714818535,0.8917019000000437
Classic Serial,100,1,N/A,6,17.909258276619255,0.9010650000000169
Classic Serial,100,1,N/A,7,24.88089029181353,0.8857081000005564
Classic Serial,100,1,N/A,8,31.83866015634723,0.8856364000002941
Classic Serial,100,1,N/A,9,23.879237301898854,0.8866884999997637
Classic Serial,120,1,N/A,0,31.846894927821012,1.062233799999376
Classic Serial,120,1,N/A,1,37.808390523766064,1.2289628999997149
Classic Serial,120,1,N/A,2,36.81349260363103,1.1070081000007121
Classic Serial,120,1,N/A,3,16.91429876741455,1.065892900000108
Classic Serial,120,1,N/A,4,31.838673847938765,1.2024984999998196
Classic Serial,120,1,N/A,5,21.889080319423584,1.1921962000005806
Classic Serial,120,1,N/A,6,21.889149706810173,1.2140777999993588
Classic Serial,120,1,N/A,7,13.929421989128144,1.0674763999995776
Classic Serial,120,1,N/A,8,16.914340378074712,1.083001800000602
Classic Serial,120,1,N/A,9,18.904210866926206,1.0608616999998048
Island Parallel,120,2,10,0,30.66081680905782,2.657373000000007
Island Parallel,120,2,10,1,55.862709532749136,2.4937517999997
Island Parallel,120,2,10,2,24.814303858342612,2.4316195999999763
Island Parallel,120,2,10,3,41.09832180092778,2.4195324000002074
Island Parallel,120,2,10,4,32.41790104204247,2.4786507000007987
Island Parallel,120,2,10,5,29.37647918210996,2.257604899999933
Island Parallel,120,2,10,6,23.373047310728907,2.265611699999681
Island Parallel,120,2,10,7,23.944536197266928,2.47522409999965
Island Parallel,120,2,10,8,28.75216911189139,2.3591263999996954
Island Parallel,120,2,10,9,31.18901697296019,2.4181734000003416
Island Parallel,120,2,25,0,32.447279334563945,2.3397581999997783
Island Parallel,120,2,25,1,41.24500526908179,2.404527299999245
Island Parallel,120,2,25,2,31.10241179265006,2.3597216999996817
Island Parallel,120,2,25,3,20.158600573919898,2.4131766999998945
Island Parallel,120,2,25,4,36.28231889986702,2.7105924999996205
Island Parallel,120,2,25,5,21.854782374252665,2.338262499999473
Island Parallel,120,2,25,6,39.16743160111571,2.4004751000002216
Island Parallel,120,2,25,7,40.499819125363416,2.611788300000626
Island Parallel,120,2,25,8,31.28971941689312,2.333253599999807
Island Parallel,120,2,25,9,28.911986396118465,2.2502236000000266
Island Parallel,120,2,100,0,45.759473765148925,2.2929715000000215
Island Parallel,120,2,100,1,29.504144219836633,2.3888015999991694
Island Parallel,120,2,100,2,29.7907509979658,2.301464699999997
Island Parallel,120,2,100,3,41.24148968867286,2.4479041000004145
Island Parallel,120,2,100,4,20.798151529907074,2.300213700000313
Island Parallel,120,2,100,5,36.211231600203206,2.343702000000121
Island Parallel,120,2,100,6,44.563799581427816,2.245337900000777
Island Parallel,120,2,100,7,37.28356799390315,2.2929090999996333
Island Parallel,120,2,100,8,38.31468588745673,2.3720867000001817
Island Parallel,120,2,100,9,27.062725655704327,2.584639900000184
Island Parallel,120,4,10,0,27.84922651601667,2.470598799999607
Island Parallel,120,4,10,1,21.17229605721994,2.303735599999527
Island Parallel,120,4,10,2,22.50491196509074,2.3735704000000624
Island Parallel,120,4,10,3,37.99718660028731,2.371615600000041
Island Parallel,120,4,10,4,33.44531363622107,2.5304924000001847
Island Parallel,120,4,10,5,31.583324271714446,2.6845868999998856
Island Parallel,120,4,10,6,34.243523830952995,2.5956118999993123
Island Parallel,120,4,10,7,38.104540778435734,2.515955699999722
Island Parallel,120,4,10,8,18.582473250855713,2.3575511999997616
Island Parallel,120,4,10,9,28.719298607000184,2.560929500000384
Island Parallel,120,4,25,0,31.144594368525162,2.499342200000683
Island Parallel,120,4,25,1,38.17577867098413,2.5242882000002282
Island Parallel,120,4,25,2,23.877707997084087,2.5932301000002553
Island Parallel,120,4,25,3,36.45361283983743,2.4609145999993416
Island Parallel,120,4,25,4,28.57120112045851,2.686996800000088
Island Parallel,120,4,25,5,26.93587501643708,2.4740329999995083
Island Parallel,120,4,25,6,28.828665352692298,2.5021684000003006
Island Parallel,120,4,25,7,40.80558371294467,2.3809565999999904
Island Parallel,120,4,25,8,29.278326199682652,2.469404399999803
Island Parallel,120,4,25,9,19.6728186944446,2.5005413999997472
Island Parallel,120,4,100,0,37.15766951202994,2.500374500000362
Island Parallel,120,4,100,1,20.526790541516675,3.0117197999998098
Island Parallel,120,4,100,2,28.635942320694312,2.6417841000002227
Island Parallel,120,4,100,3,24.828596802835904,2.611931200000072
Island Parallel,120,4,100,4,21.4064001240026,2.4829964000000473
Island Parallel,120,4,100,5,37.60834406606892,2.437676699999429
Island Parallel,120,4,100,6,21.984546337451803,2.4065951000002315
Island Parallel,120,4,100,7,25.991253496529083,2.4959804000000076
Island Parallel,120,4,100,8,23.140095420410034,2.3818034000005355
Island Parallel,120,4,100,9,27.251031307907027,2.3849394999997457
Island Parallel,120,8,10,0,34.790684188020805,2.46118209999986
Island Parallel,120,8,10,1,39.139997288853635,2.3888552999997046
Island Parallel,120,8,10,2,26.242299091491816,2.4809941000003164
Island Parallel,120,8,10,3,28.36180955891274,2.483831700000337
Island Parallel,120,8,10,4,29.073143998354197,2.3528997000003073
Island Parallel,120,8,10,5,29.34153198397712,2.431001400000241
Island Parallel,120,8,10,6,28.052539130791217,2.416101699999672
Island Parallel,120,8,10,7,43.26975939720438,2.5179668999999194
Island Parallel,120,8,10,8,23.813451425474824,2.6869824000004883
Island Parallel,120,8,10,9,26.273518033085338,2.4232668000004196
Island Parallel,120,8,25,0,33.63886142183617,2.439493400000174
Island Parallel,120,8,25,1,33.93315020564245,2.611881999999241
Island Parallel,120,8,25,2,37.85912539605843,2.6391664000002493
Island Parallel,120,8,25,3,37.89700082895743,2.429347900000721
Island Parallel,120,8,25,4,29.561808360205276,2.4489149000000907
Island Parallel,120,8,25,5,34.320227248261546,2.394577400000344
Island Parallel,120,8,25,6,39.26185173293305,2.3692304000005606
Island Parallel,120,8,25,7,34.14413517228806,2.368421000000126
Island Parallel,120,8,25,8,34.93199572634646,2.559607099999994
