Algorithm_Type,Configuration,Migration_Interval,Best_Fitness_Min,Mean_Fitness,Std_Dev,Time_Sec,Speedup
Classic Serial,400 agents,N/A,3.572420e-06,0.007409,0.0068,8.1729,1.00
Island Parallel,4 cores,20,8.724702e-01,0.942382,0.06425,2.9173,2.80
